r,mean_absB
0.025,NaN
0.075,0.4970838713121363
0.125,0.4970215346552768
0.175,0.4970400308019311
0.225,0.4970784381211013
0.275,0.49745525723514133
0.325,0.49700059867812085
0.375,0.4973720626203997
0.425,0.49940292040140954
0.475,0.49936573761777536
0.525,0.5020208791241155
0.575,0.5018391965406573
0.625,0.5045288565047182
0.675,0.514909914165323
0.725,0.5157272012649695
0.775,0.5262177636326851
0.825,0.5316178507541112
0.875,0.5383179828384925
0.925,0.5535028133921985
0.975,0.5074809089940555
1.025,0.4407502243738264
1.075,0.39062041332002345
1.125,0.33297025384549983
1.175,0.2838802220677447
1.225,0.23787637458601774
1.275,0.20450540226851444
1.325,0.1784704123738067
1.375,0.15628655596954014
1.425,0.13809992628945872
1.475,0.12261123054341326
1.525,0.10938113940551426
1.575,0.09819642249577612
1.625,0.08864251638266944
1.675,0.08025642523863652
1.725,0.07295478508174716
1.775,0.06661111721970264
1.825,0.06100861008027146
1.875,0.056021637177959535
1.925,0.0514898667323133
1.975,0.047427211924031064
