t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.252,0.14483653688178788,0.01148568724600392,3.050576670701097e-10,0.00016251857510003,2.5661628170579254e-6,4,0.03686123493692682,0.6439084703382406,1.1087462976364308
0.513,0.226261191973496,0.008849736779807268,1.4531114714031908e-8,0.00014128377595500643,8.311856393210836e-6,8,0.0206004659677212,0.43583580921863063,0.8844360953747771
0.754,0.21978913636197922,0.007475009826130873,-1.816786617234629e-9,0.00010569012961302283,1.2184979660131214e-5,8,0.02630270795254489,0.37612106232879794,0.992444444310799
1.006,0.17998083188488884,0.00601938033008026,-8.687822072306464e-7,8.717177176295736e-5,1.3901480113474315e-5,8,0.03036362250412835,0.29785822921066,0.962136453204643
1.261,0.1444340896268296,0.00466958164280998,-2.319778752323778e-6,7.954914163764552e-5,1.4630835845636676e-5,8,0.03397354447331764,0.21678660811308076,0.790504379409769
1.502,0.1237439135235931,0.003641469614652969,-3.437529394356251e-6,7.826741315636824e-5,1.4871838596454819e-5,8,0.03649805858542827,0.15564503109334726,0.6237914163329977
1.761,0.11190929363466834,0.0028394102631581417,-1.098065849344575e-5,8.109507303260447e-5,1.4826139840545266e-5,8,0.03275619646476586,0.11145685915591706,0.48963224837947433
2.038,0.10462517969748675,0.0022618233981347375,-3.2131584126608426e-5,8.806533022665158e-5,1.453094375321369e-5,8,0.026051045117721123,0.08228450605633597,0.3983996030936325
2.283,0.09960703445766933,0.0019165720562231013,-6.711697124018811e-5,9.617544819036711e-5,1.4332804758129594e-5,4,0.032388193175124515,0.06588716066461665,0.32810944172909673
2.541,0.09468601857120611,0.0016566951839409535,-0.00012253663279463854,0.00010485126873788766,1.4432490308843402e-5,4,0.04757935225166053,0.0539834280297112,0.27561856371470583
2.756,0.0906635443888786,0.0014904227953499512,-0.00017991041227388702,0.00011134618787963617,1.4673602332682219e-5,4,0.05416558452248817,0.04660286551141671,0.24863192193785472
3.023,0.08549623039641381,0.001320377652624293,-0.0002519136836390743,0.00011816320551980503,1.4966688747757881e-5,4,0.058252370186238474,0.039350959526179626,0.2192634474915892
3.287,0.0800487509213733,0.0011803587088835246,-0.00030427610537886067,0.00012366734335188143,1.506095785787243e-5,4,0.06036311158922875,0.03368665515496219,0.19490145888833135
3.551,0.074113310939675,0.0010623841083836705,-0.0003247060412750563,0.00012824107126051858,1.4936790263935387e-5,4,0.06073283787591458,0.029169800927262714,0.17505414468340955
3.763,0.06898887982326089,0.000980394005500956,-0.00031941817810817857,0.0001317126101161158,1.4721498130706055e-5,4,0.05923006663145373,0.026175493028098934,0.1644480550310967
4.029,0.062484724936289364,0.0008906151494489402,-0.0002957813952360086,0.00013597169819123131,1.4384204100334388e-5,4,0.05692044069101548,0.023030266175417806,0.152262048573778
