variant,r,meanB,meanA
k0,1.5000,0.117015,0.0840566
k0,1.6800,0.0801456,0.0674821
k0,1.8816,0.055587,0.0541091
k0,2.1074,0.0388571,0.043341
k0,2.3603,0.0273024,0.0346855
k0,2.6435,0.0192508,0.0277384
k0,2.9607,0.0136069,0.0221694
k0,3.3160,0.00963436,0.0177097
k0,3.7139,0.00683027,0.0141416
k0,4.1596,0.00484683,0.0112886
k0,4.6588,0.00344176,0.00900887
k0,5.2178,0.0024453,0.00718798
k0,5.8440,0.00173804,0.00573416
k0,6.5452,0.00123572,0.00457375
k0,7.3307,0.000878787,0.00364777
k0,8.2103,0.00062507,0.002909
k0,9.1956,0.000444669,0.00231969
k0,10.2991,0.00031637,0.00184966
k0,11.5349,0.000225108,0.0014748
k0,12.9191,0.000160184,0.00117587
k0,14.4694,0.000113991,0.000937501
k0,16.2058,8.11228e-05,0.000747438
k0,18.1505,5.77337e-05,0.000595896
k0,20.3285,4.10892e-05,0.000475072
k0,22.7679,2.9244e-05,0.000378742
k1,1.5000,0.122659,0.105648
k1,1.6800,0.0829744,0.0813382
k1,1.8816,0.0574527,0.0632085
k1,2.1074,0.0401277,0.0494146
k1,2.3603,0.0281797,0.0387921
k1,2.6435,0.0198618,0.0305467
k1,2.9607,0.014035,0.0241105
k1,3.3160,0.00993557,0.0190659
k1,3.7139,0.00704281,0.0150992
k1,4.1596,0.00499713,0.0119722
k1,4.6588,0.00354821,0.00950228
k1,5.2178,0.00252078,0.007548
k1,5.8440,0.0017916,0.00599963
k1,6.5452,0.00127376,0.0047715
k1,7.3307,0.000905813,0.00379647
k1,8.2103,0.00064428,0.00302178
k1,9.1956,0.000458327,0.0024059
k1,10.2991,0.000326083,0.001916
k1,11.5349,0.000232017,0.00152617
k1,12.9191,0.000165099,0.00121584
k1,14.4694,0.000117488,0.000968744
k1,16.2058,8.36108e-05,0.000771946
k1,18.1505,5.95042e-05,0.000615179
k1,20.3285,4.23491e-05,0.000490282
k1,22.7679,3.01406e-05,0.000390763
k2,1.5000,0.123822,0.111654
k2,1.6800,0.0835934,0.0852003
k2,1.8816,0.0578635,0.0657459
k2,2.1074,0.0404079,0.0511056
k2,2.3603,0.0283733,0.0399316
k2,2.6435,0.0199968,0.0313218
k2,2.9607,0.0141296,0.0246424
k2,3.3160,0.0100022,0.019434
k2,3.7139,0.00708981,0.0153562
k2,4.1596,0.00503037,0.0121534
k2,4.6588,0.00357176,0.0096312
k2,5.2178,0.00253748,0.00764066
k2,5.8440,0.00180345,0.00606692
k2,6.5452,0.00128217,0.00482085
k2,7.3307,0.000911794,0.00383303
k2,8.2103,0.000648531,0.00304912
k2,9.1956,0.00046135,0.00242652
k2,10.2991,0.000328232,0.00193169
k2,11.5349,0.000233546,0.00153818
k2,12.9191,0.000166187,0.00122511
k2,14.4694,0.000118262,0.000975929
k2,16.2058,8.41615e-05,0.000777544
k2,18.1505,5.9896e-05,0.000619558
k2,20.3285,4.2628e-05,0.000493719
k2,22.7679,3.0339e-05,0.00039347
k1r,1.5000,0.0128341,0.0580165
k1r,1.6800,0.00344741,0.0397962
k1r,1.8816,0.00191728,0.027635
k1r,2.1074,0.00128492,0.0193392
k1r,2.3603,0.000883261,0.013604
k1r,2.6435,0.000613646,0.00960428
k1r,2.9607,0.000429279,0.00679855
k1r,3.3160,0.000301726,0.00482227
k1r,3.7139,0.000212776,0.00342614
k1r,4.1596,0.000150403,0.00243769
k1r,4.6588,0.000106494,0.00173671
k1r,5.2178,7.54989e-05,0.00123891
k1r,5.8440,5.35743e-05,0.000885
k1r,6.5452,3.80429e-05,0.000633127
k1r,7.3307,2.70284e-05,0.000453694
k1r,8.2103,1.92107e-05,0.000325736
k1r,9.1956,1.36584e-05,0.000234384
k1r,10.2991,9.71315e-06,0.000169085
k1r,11.5349,6.9088e-06,0.00012234
k1r,12.9191,4.91483e-06,8.88191e-05
k1r,14.4694,3.49675e-06,6.47313e-05
k1r,16.2058,2.48805e-06,4.73794e-05
k1r,18.1505,1.77046e-06,3.48433e-05
k1r,20.3285,1.2599e-06,2.57555e-05
k1r,22.7679,8.96619e-07,1.91416e-05
k2r,1.5000,0.0143092,0.0672882
k2r,1.6800,0.00406718,0.0461428
k2r,1.8816,0.00233276,0.0320385
k2r,2.1074,0.0015676,0.0224201
k2r,2.3603,0.00107799,0.0157715
k2r,2.6435,0.000749085,0.0111353
k2r,2.9607,0.000524099,0.00788317
k2r,3.3160,0.000368409,0.00559248
k2r,3.7139,0.000259818,0.00397418
k2r,4.1596,0.000183664,0.00282838
k2r,4.6588,0.000130051,0.00201572
k2r,5.2178,9.22015e-05,0.00143855
k2r,5.8440,6.54279e-05,0.00102814
k2r,6.5452,4.64609e-05,0.00073599
k2r,7.3307,3.30095e-05,0.000527807
k2r,8.2103,2.3462e-05,0.000379293
k2r,9.1956,1.66811e-05,0.00027322
k2r,10.2991,1.18628e-05,0.000197354
k2r,11.5349,8.43787e-06,0.000143007
k2r,12.9191,6.00261e-06,0.000104
k2r,14.4694,4.27068e-06,7.59414e-05
k2r,16.2058,3.03874e-06,5.57033e-05
k2r,18.1505,2.16232e-06,4.106e-05
k2r,20.3285,1.53877e-06,3.04262e-05
k2r,22.7679,1.09507e-06,2.26718e-05
